dataset_name,is_swk,model_type,spearman,pearson,top_hit
Hie2022_C143_Kd,False,affinity_head,-0.23529411852359772,0.021764487028121948,0.6000000238418579
Hie2022_C143_Kd,False,zero_shot,0.01764705882352941,-0.05219126458776692,0.4
Hie2022_MEDI8852UCA_Kd,False,affinity_head,-0.5353383421897888,-0.24866624176502228,0.20000000298023224
Hie2022_MEDI8852UCA_Kd,False,zero_shot,-0.17894736842105263,-0.10117627967911,0.2
Hie2022_MEDI8852_Kd,False,affinity_head,0.3678571283817291,0.16571664810180664,0.800000011920929
Hie2022_MEDI8852_Kd,False,zero_shot,0.07142857142857142,-0.3536119373352287,0.4
Hie2022_REGN10987_Kd,False,affinity_head,-0.28021979331970215,-0.20401790738105774,0.699999988079071
Hie2022_REGN10987_Kd,False,zero_shot,-0.10729033533674225,-0.2522289162248793,0.4
Hie2022_S309_Kd,False,affinity_head,-0.46315789222717285,-0.47540345788002014,0.4000000059604645
Hie2022_S309_Kd,False,zero_shot,0.3929824561403509,0.3016413704773592,0.4
Hie2022_mAb114_Kd,False,affinity_head,0.20601503551006317,0.4202938973903656,0.6000000238418579
Hie2022_mAb114_Kd,False,zero_shot,-0.17593984962406015,-0.07063396213217513,0.0
Koenig2017_g6_Kd,True,affinity_head,0.30636218190193176,0.38646742701530457,0.30000001192092896
Koenig2017_g6_Kd,True,zero_shot,-0.06939835241168126,0.010651205506202445,0.0
Rosace2023_Adalimumab_Kd,False,affinity_head,-0.12087913602590561,-0.10614507645368576,0.699999988079071
Rosace2023_Adalimumab_Kd,False,zero_shot,0.7788783591045872,0.7162993318973344,0.8
Rosace2023_CR3022_Kd,False,affinity_head,-0.6000000238418579,-0.534148097038269,1.0
Rosace2023_CR3022_Kd,False,zero_shot,0.4857142857142857,0.31797136536629805,1.0
Rosace2023_Golimumab_Kd,False,affinity_head,0.0,-0.5340674519538879,1.0
Rosace2023_Golimumab_Kd,False,zero_shot,-0.1,-0.008264161325049126,1.0
Shanehsazzadeh2023_trastuzumab_multi_kd,False,affinity_head,0.04260869696736336,0.13360285758972168,0.20000000298023224
Shanehsazzadeh2023_trastuzumab_multi_kd,False,zero_shot,-0.013043478260869565,0.0800654971926053,0.2
Shanehsazzadeh2023_trastuzumab_zero_kd,True,affinity_head,0.4405013620853424,0.5052962899208069,0.5
Shanehsazzadeh2023_trastuzumab_zero_kd,True,zero_shot,0.36469344608879495,0.3949254645856883,0.4
Warszawski2019_d44_Kd,True,affinity_head,0.246379554271698,0.2344624102115631,0.10000000149011612
Warszawski2019_d44_Kd,True,zero_shot,-0.1470340837148907,-0.12449435381365105,0.0
gsk2023_AM14_Kd,False,affinity_head,0.33448275923728943,0.22138924896717072,0.699999988079071
gsk2023_AM14_Kd,False,zero_shot,-0.09410025936630922,-0.012384928376479021,0.0
gsk2023_D25_Kd,False,affinity_head,0.6871823668479919,0.7445325255393982,0.699999988079071
gsk2023_D25_Kd,False,zero_shot,0.5934500282326369,0.6683246242067261,0.4
gsk2023_MOTA_Kd,False,affinity_head,-0.5636363625526428,-0.5491840839385986,0.8999999761581421
gsk2023_MOTA_Kd,False,zero_shot,-0.14545454545454545,0.25083256385493863,0.2
